t_h,ws_HH_m/s,wd_HH_deg
48442.0,9.219499294362965,189.50901031
48442.5,10.421778438015332,189.441775
48443.0,12.094875811264531,195.0580673
48443.5,14.595599857098012,202.8414993
48444.0,14.85201909678347,210.9734701
48444.5,15.374665606620853,212.966835
48445.0,16.890793158623094,213.5394516
48445.5,16.974252389389303,208.8350372
48446.0,14.02357398175325,177.61730194
48446.5,14.866951855616325,319.3214264
48447.0,18.515886112827747,137.23624674
48447.5,13.437757110746432,167.35186259
48448.0,10.00002166180204,186.23743947
48448.5,10.906336559687341,212.59521990000002
48449.0,8.98516884633512,198.6988831
48449.5,7.751384157929169,191.3570684
48450.0,8.64431908621489,182.77290344
48450.5,10.481343781189837,181.15725199000002
48451.0,14.91297349375651,177.16974894
48451.5,14.106350835247468,177.62200928
48452.0,15.08869609062555,291.3686473
48452.5,11.913565490451278,293.0549494
48453.0,2.940928656719453,341.5882568
48453.5,3.941090749235407,331.10334520000004
48454.0,4.279004583830413,296.89321140000004
48454.5,4.385818919131161,277.02409620000003
48455.0,5.433402441887786,304.4232305
48455.5,6.994510505921422,316.250412
48456.0,6.722760491965113,316.581103
48456.5,7.93556115563307,323.59010820000003
48457.0,10.007877394413073,323.9626007
48457.5,9.70364952822349,321.9317652
48458.0,8.108869330914828,320.8644307
48458.5,7.846162038270686,317.01479340000003
48459.0,8.829782226360285,317.4246699
48459.5,9.579819949117052,316.0479075
48460.0,10.45772594725288,314.8249563
48460.5,12.090592960642663,316.7479935
48461.0,12.294646079886446,313.9295578
48461.5,13.114968342113324,314.92509459999997
48462.0,13.995977569465582,312.5462341
48462.5,15.177403660553232,310.47200780000003
48463.0,16.08809436914387,310.4329427
48463.5,16.44070162901785,307.8346939
48464.0,17.19356252710185,311.7347997
48464.5,15.998623219946316,312.9019318
48465.0,16.886358721207507,313.7497431
48465.5,18.415397057519616,318.3518321
48466.0,17.898422609902816,317.42356359999997
48466.5,19.044389971879436,318.96009319999996
48467.0,19.66766897146709,319.19349420000003
48467.5,18.93872437846225,320.94853209999997
48468.0,19.948084455828184,324.19071199999996
48468.5,21.318633343366972,330.3996277
48469.0,21.098841487085767,334.20882670000003
48469.5,20.876379060082186,336.84308369999997
48470.0,20.2237529400758,338.0251287
48470.5,19.51512637616769,341.4036407
48471.0,19.06051904934881,342.9050013
48471.5,17.859653414577195,344.1196391
48472.0,16.766407393072612,346.3314667
48472.5,16.398540921307433,347.698054
48473.0,15.279793121129039,348.8224589
48473.5,15.383701901520867,349.380427
48474.0,13.799867655415191,352.0474701
48474.5,10.76237142371727,356.7918243
48475.0,7.611710884943495,359.6691284
48475.5,5.826959433171851,0.6991881999999805
48476.0,3.696446919623634,353.2762604
48476.5,3.2738817686156096,351.9443817
48477.0,2.4584062638282367,1.0859070000000202
48477.5,1.6508028535576074,1.5573934000000236
48478.0,1.3835533006103693,63.803410799999995
48478.5,1.5557741064418724,132.76761373
48479.0,3.5748081059980477,154.07541401999998
48479.5,3.4215299902725067,179.98179881
48480.0,4.088975759918354,184.97870382000002
48480.5,4.218312486254317,171.48924001
48481.0,4.56232406482369,173.90022277999998
48481.5,4.174910119971917,167.71146647
48482.0,4.911231543752265,174.56716665
48482.5,4.705915484610314,180.80526988
48483.0,5.091872263190242,186.46418762000002
48483.5,3.406545226419268,172.06776682999998
48484.0,4.849628236951981,175.46411896
48484.5,7.887467226411399,195.2117157
48485.0,9.21581573922062,208.90137479999999
48485.5,10.677161021281979,216.34730530000002
48486.0,11.126752955531165,225.4323146
48486.5,12.138864971307541,235.6761525
48487.0,11.699645246547757,239.2318675
48487.5,11.476753603066452,243.1107839
48488.0,11.078874257859052,252.7163289
48488.5,11.339167203870995,261.6867956
48489.0,10.96373641499663,269.4644648
48489.5,10.094506635430049,278.8930842
48490.0,10.326656389573253,285.2733129
48490.5,9.865610756413451,277.9030533
48491.0,11.786209430497323,285.2132467
48491.5,12.334689580667884,284.75863649999997
48492.0,11.28748157893422,277.8016561
48492.5,15.026949584110886,277.4322866
48493.0,13.18915378674269,269.2810338
48493.5,0.895170921269411,164.6383845
48494.0,2.930539558666252,221.3519872
48494.5,5.994121423770326,234.0944366
48495.0,8.030181884752176,186.39765676000002
48495.5,11.470630855654255,189.09933726
48496.0,13.942394046311424,226.8857498
48496.5,12.092736346620779,219.4156977
48497.0,13.62402607721372,208.9342626
48497.5,6.334687291512078,271.3033422
48498.0,8.986594817484743,208.0896962
48498.5,10.977773054247093,207.9900767
48499.0,11.306026332502272,204.2957026
48499.5,12.330784209763655,204.4619191
48500.0,14.641597586539085,203.223849
48500.5,15.715773707326116,201.0528183
48501.0,16.26365503344518,205.5121892
48501.5,18.2093026056163,210.9170939
48502.0,18.864999339515318,213.8423894
48502.5,18.942868808742556,218.615598
48503.0,24.440524975098075,217.5477244
48503.5,26.655065853360956,216.0161769
48504.0,23.77428454631379,205.919899
48504.5,22.804323357984337,207.3653386
48505.0,20.9089297252615,214.6488037
48505.5,17.04201833943119,227.4824931
48506.0,14.952877321657489,246.1485621
48506.5,13.953464933830967,266.03617099999997
48507.0,13.516694902942726,289.8722839
48507.5,14.004438083084748,300.54348749999997
48508.0,13.327384472220247,301.6191584
48508.5,14.957822327458844,302.8257777
